Match_SK,match_id,Team1,Team2,match_date,Season_Year,Venue_Name,City_Name,Country_Name,Toss_Winner,match_winner,Toss_Name,Win_Type,Outcome_Type,ManOfMach,Win_Margin,Country_id
15,336002,Kolkata Knight Riders,Mumbai Indians,4/29/2008,2008,Eden Gardens,Kolkata,India,Kolkata Knight Riders,Mumbai Indians,bat,wickets,Result,ST Jayasuriya,7,1
16,336003,Delhi Daredevils,Royal Challengers Bangalore,4/30/2008,2008,Feroz Shah Kotla,Delhi,India,Royal Challengers Bangalore,Delhi Daredevils,field,runs,Result,GD McGrath,10,1
17,336004,Deccan Chargers,Kings XI Punjab,5/1/2008,2008,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,Kings XI Punjab,Kings XI Punjab,field,wickets,Result,SE Marsh,7,1
18,336005,Rajasthan Royals,Kolkata Knight Riders,5/1/2008,2008,Sawai Mansingh Stadium,Jaipur,India,Rajasthan Royals,Rajasthan Royals,bat,runs,Result,SA Asnodkar,45,1
19,336006,Chennai Super Kings,Delhi Daredevils,5/2/2008,2008,"MA Chidambaram Stadium, Chepauk",Chennai,India,Chennai Super Kings,Delhi Daredevils,bat,wickets,Result,V Sehwag,8,1
20,336007,Deccan Chargers,Royal Challengers Bangalore,5/25/2008,2008,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,Deccan Chargers,Royal Challengers Bangalore,bat,wickets,Result,R Vinay Kumar,5,1
21,336008,Kings XI Punjab,Kolkata Knight Riders,5/3/2008,2008,"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,Kings XI Punjab,Kings XI Punjab,bat,runs,Result,IK Pathan,9,1
22,336009,Mumbai Indians,Delhi Daredevils,5/4/2008,2008,Dr DY Patil Sports Academy,Mumbai,India,Delhi Daredevils,Mumbai Indians,field,runs,Result,SM Pollock,29,1
23,336010,Rajasthan Royals,Chennai Super Kings,5/4/2008,2008,Sawai Mansingh Stadium,Jaipur,India,Chennai Super Kings,Rajasthan Royals,bat,wickets,Result,Sohail Tanvir,8,1
24,336011,Royal Challengers Bangalore,Kings XI Punjab,5/5/2008,2008,M Chinnaswamy Stadium,Bangalore,India,Kings XI Punjab,Kings XI Punjab,field,wickets,Result,S Sreesanth,6,1
25,336012,Chennai Super Kings,Deccan Chargers,5/6/2008,2008,"MA Chidambaram Stadium, Chepauk",Chennai,India,Deccan Chargers,Deccan Chargers,field,wickets,Result,AC Gilchrist,7,1
26,336013,Mumbai Indians,Rajasthan Royals,5/7/2008,2008,Dr DY Patil Sports Academy,Mumbai,India,Mumbai Indians,Mumbai Indians,field,wickets,Result,A Nehra,7,1
27,336014,Delhi Daredevils,Chennai Super Kings,5/8/2008,2008,Feroz Shah Kotla,Delhi,India,Chennai Super Kings,Chennai Super Kings,field,wickets,Result,MS Dhoni,4,1
28,336015,Kolkata Knight Riders,Royal Challengers Bangalore,5/8/2008,2008,Eden Gardens,Kolkata,India,Kolkata Knight Riders,Kolkata Knight Riders,bat,runs,Result,SC Ganguly,5,1
29,336016,Rajasthan Royals,Deccan Chargers,5/9/2008,2008,Sawai Mansingh Stadium,Jaipur,India,Rajasthan Royals,Rajasthan Royals,field,wickets,Result,YK Pathan,8,1
30,336017,Royal Challengers Bangalore,Mumbai Indians,5/28/2008,2008,M Chinnaswamy Stadium,Bangalore,India,Mumbai Indians,Mumbai Indians,field,wickets,Result,CRD Fernando,9,1
31,336018,Chennai Super Kings,Kings XI Punjab,5/10/2008,2008,"MA Chidambaram Stadium, Chepauk",Chennai,India,Kings XI Punjab,Chennai Super Kings,field,runs,Result,L Balaji,18,1
32,336019,Deccan Chargers,Kolkata Knight Riders,5/11/2008,2008,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,Kolkata Knight Riders,Kolkata Knight Riders,bat,runs,Result,SC Ganguly,23,1
33,336020,Rajasthan Royals,Delhi Daredevils,5/11/2008,2008,Sawai Mansingh Stadium,Jaipur,India,Rajasthan Royals,Rajasthan Royals,field,wickets,Result,SR Watson,3,1
34,336021,Kings XI Punjab,Royal Challengers Bangalore,5/12/2008,2008,"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,Royal Challengers Bangalore,Kings XI Punjab,bat,wickets,Result,SE Marsh,9,1
35,336022,Kolkata Knight Riders,Delhi Daredevils,5/13/2008,2008,Eden Gardens,Kolkata,India,Kolkata Knight Riders,Kolkata Knight Riders,bat,runs,Result,Shoaib Akhtar,23,1
36,336023,Mumbai Indians,Chennai Super Kings,5/14/2008,2008,Wankhede Stadium,Mumbai,India,Mumbai Indians,Mumbai Indians,field,wickets,Result,ST Jayasuriya,9,1
37,336024,Kings XI Punjab,Rajasthan Royals,5/28/2008,2008,"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,Rajasthan Royals,Kings XI Punjab,field,runs,Result,SE Marsh,41,1
38,336025,Delhi Daredevils,Deccan Chargers,5/15/2008,2008,Feroz Shah Kotla,Delhi,India,Deccan Chargers,Delhi Daredevils,field,runs,Result,A Mishra,12,1
39,336026,Mumbai Indians,Kolkata Knight Riders,5/16/2008,2008,Wankhede Stadium,Mumbai,India,Mumbai Indians,Mumbai Indians,field,wickets,Result,SM Pollock,8,1
40,336027,Delhi Daredevils,Kings XI Punjab,5/17/2008,2008,Feroz Shah Kotla,Delhi,India,Delhi Daredevils,Kings XI Punjab,bat,runs,Result,DPMD Jayawardene,6,1
41,336028,Rajasthan Royals,Royal Challengers Bangalore,5/17/2008,2008,Sawai Mansingh Stadium,Jaipur,India,Royal Challengers Bangalore,Rajasthan Royals,field,runs,Result,GC Smith,65,1
42,336029,Deccan Chargers,Mumbai Indians,5/18/2008,2008,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,Deccan Chargers,Mumbai Indians,field,runs,Result,DJ Bravo,25,1
43,336030,Kolkata Knight Riders,Chennai Super Kings,5/18/2008,2008,Eden Gardens,Kolkata,India,Kolkata Knight Riders,Chennai Super Kings,bat,runs,Result,M Ntini,3,1
44,336031,Royal Challengers Bangalore,Delhi Daredevils,5/19/2008,2008,M Chinnaswamy Stadium,Bangalore,India,Delhi Daredevils,Delhi Daredevils,field,wickets,Result,SP Goswami,5,1
45,336032,Kolkata Knight Riders,Rajasthan Royals,5/20/2008,2008,Eden Gardens,Kolkata,India,Rajasthan Royals,Rajasthan Royals,field,wickets,Result,YK Pathan,6,1
46,336033,Mumbai Indians,Kings XI Punjab,5/21/2008,2008,Wankhede Stadium,Mumbai,India,Mumbai Indians,Kings XI Punjab,field,runs,Result,SE Marsh,1,1
47,336034,Chennai Super Kings,Royal Challengers Bangalore,5/21/2008,2008,"MA Chidambaram Stadium, Chepauk",Chennai,India,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,runs,Result,A Kumble,14,1
48,336036,Kings XI Punjab,Deccan Chargers,5/23/2008,2008,"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,Kings XI Punjab,Kings XI Punjab,field,wickets,Result,SE Marsh,6,1
49,336037,Delhi Daredevils,Mumbai Indians,5/24/2008,2008,Feroz Shah Kotla,Delhi,India,Delhi Daredevils,Delhi Daredevils,field,wickets,Result,KD Karthik,5,1
50,336038,Chennai Super Kings,Rajasthan Royals,5/24/2008,2008,"MA Chidambaram Stadium, Chepauk",Chennai,India,Rajasthan Royals,Rajasthan Royals,bat,runs,Result,JA Morkel,10,1
51,336039,Royal Challengers Bangalore,Deccan Chargers,5/3/2008,2008,M Chinnaswamy Stadium,Bangalore,India,Deccan Chargers,Royal Challengers Bangalore,field,runs,Result,P Kumar,3,1
52,336040,Kolkata Knight Riders,Kings XI Punjab,5/25/2008,2008,Eden Gardens,Kolkata,India,Kings XI Punjab,Kolkata Knight Riders,bat,wickets,Result,Umar Gul,3,1
53,336041,Rajasthan Royals,Mumbai Indians,5/26/2008,2008,Sawai Mansingh Stadium,Jaipur,India,Rajasthan Royals,Rajasthan Royals,field,wickets,Result,Sohail Tanvir,5,1
54,336042,Deccan Chargers,Chennai Super Kings,5/27/2008,2008,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,Deccan Chargers,Chennai Super Kings,bat,wickets,Result,SK Raina,7,1
55,336043,Delhi Daredevils,Rajasthan Royals,5/30/2008,2008,Wankhede Stadium,Mumbai,India,Delhi Daredevils,Rajasthan Royals,field,runs,Result,SR Watson,105,1
56,336044,Chennai Super Kings,Kings XI Punjab,5/31/2008,2008,Wankhede Stadium,Mumbai,India,Kings XI Punjab,Chennai Super Kings,bat,wickets,Result,M Ntini,9,1
57,336045,Chennai Super Kings,Rajasthan Royals,6/1/2008,2008,Dr DY Patil Sports Academy,Mumbai,India,Rajasthan Royals,Rajasthan Royals,field,wickets,Result,YK Pathan,3,1
58,392186,Chennai Super Kings,Mumbai Indians,4/18/2009,2009,Newlands,Cape Town,South Africa,Chennai Super Kings,Mumbai Indians,field,runs,Result,SR Tendulkar,19,2
59,392187,Royal Challengers Bangalore,Rajasthan Royals,4/18/2009,2009,Newlands,Cape Town,South Africa,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,runs,Result,R Dravid,75,2
60,392188,Delhi Daredevils,Kings XI Punjab,4/19/2009,2009,Newlands,Cape Town,South Africa,Delhi Daredevils,Delhi Daredevils,field,wickets,Result,DL Vettori,10,2
61,392189,Deccan Chargers,Kolkata Knight Riders,4/19/2009,2009,Newlands,Cape Town,South Africa,Kolkata Knight Riders,Deccan Chargers,bat,wickets,Result,RP Singh,8,2
62,392190,Royal Challengers Bangalore,Chennai Super Kings,4/20/2009,2009,St George's Park,Port Elizabeth,South Africa,Chennai Super Kings,Chennai Super Kings,bat,runs,Result,M Muralitharan,92,2
63,392191,Kings XI Punjab,Kolkata Knight Riders,4/21/2009,2009,Kingsmead,Durban,South Africa,Kolkata Knight Riders,Kolkata Knight Riders,field,runs,Result,CH Gayle,11,2
64,392193,Royal Challengers Bangalore,Deccan Chargers,4/22/2009,2009,Newlands,Cape Town,South Africa,Deccan Chargers,Deccan Chargers,bat,runs,Result,AC Gilchrist,24,2
65,392194,Chennai Super Kings,Delhi Daredevils,4/23/2009,2009,Kingsmead,Durban,South Africa,Delhi Daredevils,Delhi Daredevils,bat,runs,Result,AB de Villiers,9,2
66,392195,Kolkata Knight Riders,Rajasthan Royals,4/23/2009,2009,Newlands,Cape Town,South Africa,Kolkata Knight Riders,Rajasthan Royals,field,Tie,Superover,YK Pathan,NULL,2
67,392196,Royal Challengers Bangalore,Kings XI Punjab,4/24/2009,2009,Kingsmead,Durban,South Africa,Royal Challengers Bangalore,Kings XI Punjab,bat,wickets,Result,RS Bopara,7,2
68,392197,Deccan Chargers,Mumbai Indians,4/25/2009,2009,Kingsmead,Durban,South Africa,Deccan Chargers,Deccan Chargers,bat,runs,Result,PP Ojha,12,2
69,392199,Royal Challengers Bangalore,Delhi Daredevils,4/26/2009,2009,St George's Park,Port Elizabeth,South Africa,Royal Challengers Bangalore,Delhi Daredevils,bat,wickets,Result,TM Dilshan,6,2
70,392200,Kings XI Punjab,Rajasthan Royals,4/26/2009,2009,Newlands,Cape Town,South Africa,Kings XI Punjab,Kings XI Punjab,bat,runs,Result,KC Sangakkara,27,2
71,392201,Chennai Super Kings,Deccan Chargers,4/27/2009,2009,Kingsmead,Durban,South Africa,Deccan Chargers,Deccan Chargers,field,wickets,Result,HH Gibbs,6,2
72,392202,Kolkata Knight Riders,Mumbai Indians,4/27/2009,2009,St George's Park,Port Elizabeth,South Africa,Mumbai Indians,Mumbai Indians,bat,runs,Result,SR Tendulkar,92,2
73,392203,Delhi Daredevils,Rajasthan Royals,4/28/2009,2009,SuperSport Park,Centurion,South Africa,Delhi Daredevils,Rajasthan Royals,bat,wickets,Result,YK Pathan,5,2
74,392204,Royal Challengers Bangalore,Kolkata Knight Riders,4/29/2009,2009,Kingsmead,Durban,South Africa,Kolkata Knight Riders,Royal Challengers Bangalore,bat,wickets,Result,MV Boucher,5,2
75,392205,Kings XI Punjab,Mumbai Indians,4/29/2009,2009,Kingsmead,Durban,South Africa,Kings XI Punjab,Kings XI Punjab,bat,runs,Result,KC Sangakkara,3,2
76,392206,Deccan Chargers,Delhi Daredevils,4/30/2009,2009,SuperSport Park,Centurion,South Africa,Delhi Daredevils,Delhi Daredevils,field,wickets,Result,DP Nannes,6,2
77,392207,Chennai Super Kings,Rajasthan Royals,4/30/2009,2009,SuperSport Park,Centurion,South Africa,Rajasthan Royals,Chennai Super Kings,field,runs,Result,SK Raina,38,2
78,392208,Kolkata Knight Riders,Mumbai Indians,5/1/2009,2009,Buffalo Park,East London,South Africa,Mumbai Indians,Mumbai Indians,bat,runs,Result,JP Duminy,9,2
79,392209,Royal Challengers Bangalore,Kings XI Punjab,5/1/2009,2009,Kingsmead,Durban,South Africa,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,runs,Result,Yuvraj Singh,8,2
80,392210,Deccan Chargers,Rajasthan Royals,5/2/2009,2009,St George's Park,Port Elizabeth,South Africa,Deccan Chargers,Rajasthan Royals,bat,wickets,Result,YK Pathan,3,2
81,392211,Chennai Super Kings,Delhi Daredevils,5/2/2009,2009,New Wanderers Stadium,Johannesburg,South Africa,Delhi Daredevils,Chennai Super Kings,field,runs,Result,SB Jakati,18,2
82,392212,Kings XI Punjab,Kolkata Knight Riders,5/3/2009,2009,St George's Park,Port Elizabeth,South Africa,Kolkata Knight Riders,Kings XI Punjab,bat,wickets,Result,DPMD Jayawardene,6,2
83,392213,Royal Challengers Bangalore,Mumbai Indians,5/3/2009,2009,New Wanderers Stadium,Johannesburg,South Africa,Mumbai Indians,Royal Challengers Bangalore,bat,wickets,Result,JH Kallis,9,2
84,392214,Chennai Super Kings,Deccan Chargers,5/4/2009,2009,Buffalo Park,East London,South Africa,Chennai Super Kings,Chennai Super Kings,bat,runs,Result,MS Dhoni,78,2
85,392215,Kings XI Punjab,Rajasthan Royals,5/5/2009,2009,Kingsmead,Durban,South Africa,Kings XI Punjab,Rajasthan Royals,field,runs,Result,GC Smith,78,2
86,392216,Delhi Daredevils,Kolkata Knight Riders,5/5/2009,2009,Kingsmead,Durban,South Africa,Kolkata Knight Riders,Delhi Daredevils,bat,wickets,Result,G Gambhir,9,2
87,392217,Deccan Chargers,Mumbai Indians,5/6/2009,2009,SuperSport Park,Centurion,South Africa,Deccan Chargers,Deccan Chargers,bat,runs,Result,RG Sharma,19,2
88,392218,Royal Challengers Bangalore,Rajasthan Royals,5/7/2009,2009,SuperSport Park,Centurion,South Africa,Rajasthan Royals,Rajasthan Royals,field,wickets,Result,A Singh,7,2
89,392219,Chennai Super Kings,Kings XI Punjab,5/7/2009,2009,SuperSport Park,Centurion,South Africa,Chennai Super Kings,Chennai Super Kings,bat,runs,Result,ML Hayden,12,2
90,392220,Delhi Daredevils,Mumbai Indians,5/8/2009,2009,Buffalo Park,East London,South Africa,Mumbai Indians,Delhi Daredevils,bat,wickets,Result,A Nehra,7,2
91,392221,Deccan Chargers,Kings XI Punjab,5/9/2009,2009,De Beers Diamond Oval,Kimberley,South Africa,Kings XI Punjab,Kings XI Punjab,field,wickets,Result,DPMD Jayawardene,3,2
92,392222,Chennai Super Kings,Rajasthan Royals,5/9/2009,2009,De Beers Diamond Oval,Kimberley,South Africa,Rajasthan Royals,Chennai Super Kings,bat,wickets,Result,S Badrinath,7,2
93,392223,Royal Challengers Bangalore,Mumbai Indians,5/10/2009,2009,St George's Park,Port Elizabeth,South Africa,Mumbai Indians,Mumbai Indians,bat,runs,Result,JP Duminy,16,2
94,392224,Delhi Daredevils,Kolkata Knight Riders,5/10/2009,2009,New Wanderers Stadium,Johannesburg,South Africa,Delhi Daredevils,Delhi Daredevils,field,wickets,Result,A Mishra,7,2
95,392225,Deccan Chargers,Rajasthan Royals,5/11/2009,2009,De Beers Diamond Oval,Kimberley,South Africa,Deccan Chargers,Deccan Chargers,bat,runs,Result,DR Smith,53,2
96,392226,Royal Challengers Bangalore,Kolkata Knight Riders,5/12/2009,2009,SuperSport Park,Centurion,South Africa,Royal Challengers Bangalore,Royal Challengers Bangalore,field,wickets,Result,LRPL Taylor,6,2
97,392227,Kings XI Punjab,Mumbai Indians,5/12/2009,2009,SuperSport Park,Centurion,South Africa,Kings XI Punjab,Mumbai Indians,bat,wickets,Result,Harbhajan Singh,8,2
98,392228,Deccan Chargers,Delhi Daredevils,5/13/2009,2009,Kingsmead,Durban,South Africa,Deccan Chargers,Delhi Daredevils,field,runs,Result,R Bhatia,12,2
99,392229,Royal Challengers Bangalore,Chennai Super Kings,5/14/2009,2009,Kingsmead,Durban,South Africa,Chennai Super Kings,Royal Challengers Bangalore,bat,wickets,Result,LRPL Taylor,2,2
100,392230,Mumbai Indians,Rajasthan Royals,5/14/2009,2009,Kingsmead,Durban,South Africa,Rajasthan Royals,Rajasthan Royals,bat,runs,Result,SK Warne,2,2
101,392231,Delhi Daredevils,Kings XI Punjab,5/15/2009,2009,OUTsurance Oval,Bloemfontein,South Africa,Kings XI Punjab,Kings XI Punjab,field,wickets,Result,B Lee,6,2
102,392232,Chennai Super Kings,Mumbai Indians,5/16/2009,2009,St George's Park,Port Elizabeth,South Africa,Mumbai Indians,Chennai Super Kings,bat,wickets,Result,ML Hayden,7,2
103,392233,Deccan Chargers,Kolkata Knight Riders,5/16/2009,2009,New Wanderers Stadium,Johannesburg,South Africa,Deccan Chargers,Deccan Chargers,field,wickets,Result,RG Sharma,6,2
104,392234,Deccan Chargers,Kings XI Punjab,5/17/2009,2009,New Wanderers Stadium,Johannesburg,South Africa,Deccan Chargers,Kings XI Punjab,field,runs,Result,Yuvraj Singh,1,2
105,392235,Delhi Daredevils,Rajasthan Royals,5/17/2009,2009,OUTsurance Oval,Bloemfontein,South Africa,Delhi Daredevils,Delhi Daredevils,bat,runs,Result,AB de Villiers,14,2
106,392236,Chennai Super Kings,Kolkata Knight Riders,5/18/2009,2009,SuperSport Park,Centurion,South Africa,Chennai Super Kings,Kolkata Knight Riders,bat,wickets,Result,BJ Hodge,7,2
107,392237,Royal Challengers Bangalore,Delhi Daredevils,5/19/2009,2009,New Wanderers Stadium,Johannesburg,South Africa,Delhi Daredevils,Royal Challengers Bangalore,bat,wickets,Result,JH Kallis,7,2
108,392238,Kolkata Knight Riders,Rajasthan Royals,5/20/2009,2009,Kingsmead,Durban,South Africa,Kolkata Knight Riders,Kolkata Knight Riders,field,wickets,Result,LR Shukla,4,2
109,392239,Chennai Super Kings,Kings XI Punjab,5/20/2009,2009,Kingsmead,Durban,South Africa,Chennai Super Kings,Chennai Super Kings,bat,runs,Result,M Muralitharan,24,2
110,392240,Delhi Daredevils,Mumbai Indians,5/21/2009,2009,SuperSport Park,Centurion,South Africa,Delhi Daredevils,Delhi Daredevils,field,wickets,Result,V Sehwag,4,2
111,392241,Royal Challengers Bangalore,Deccan Chargers,5/21/2009,2009,SuperSport Park,Centurion,South Africa,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,runs,Result,MK Pandey,12,2
112,392242,Delhi Daredevils,Deccan Chargers,5/22/2009,2009,SuperSport Park,Centurion,South Africa,Deccan Chargers,Deccan Chargers,field,wickets,Result,AC Gilchrist,6,2
113,392243,Royal Challengers Bangalore,Chennai Super Kings,5/23/2009,2009,New Wanderers Stadium,Johannesburg,South Africa,Royal Challengers Bangalore,Royal Challengers Bangalore,field,wickets,Result,MK Pandey,6,2
114,392244,Royal Challengers Bangalore,Deccan Chargers,5/24/2009,2009,New Wanderers Stadium,Johannesburg,South Africa,Royal Challengers Bangalore,Deccan Chargers,field,runs,Result,A Kumble,6,2
115,419111,Deccan Chargers,Kolkata Knight Riders,3/12/2010,2010,Dr DY Patil Sports Academy,Mumbai,India,Deccan Chargers,Kolkata Knight Riders,field,runs,Result,AD Mathews,11,1
116,419112,Mumbai Indians,Rajasthan Royals,3/13/2010,2010,Brabourne Stadium,Mumbai,India,Mumbai Indians,Mumbai Indians,bat,runs,Result,YK Pathan,4,1
117,419113,Kings XI Punjab,Delhi Daredevils,3/13/2010,2010,"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,Delhi Daredevils,Delhi Daredevils,field,wickets,Result,G Gambhir,5,1
118,419114,Kolkata Knight Riders,Royal Challengers Bangalore,3/14/2010,2010,Eden Gardens,Kolkata,India,Kolkata Knight Riders,Kolkata Knight Riders,field,wickets,Result,MK Tiwary,7,1
119,419115,Chennai Super Kings,Deccan Chargers,3/14/2010,2010,"MA Chidambaram Stadium, Chepauk",Chennai,India,Deccan Chargers,Deccan Chargers,bat,runs,Result,WPUJC Vaas,31,1
120,419116,Rajasthan Royals,Delhi Daredevils,3/15/2010,2010,"Sardar Patel Stadium, Motera",Ahmedabad,India,Delhi Daredevils,Delhi Daredevils,field,wickets,Result,V Sehwag,6,1
121,419117,Royal Challengers Bangalore,Kings XI Punjab,3/16/2010,2010,M Chinnaswamy Stadium,Bangalore,India,Kings XI Punjab,Royal Challengers Bangalore,bat,wickets,Result,JH Kallis,8,1
122,419118,Kolkata Knight Riders,Chennai Super Kings,3/16/2010,2010,Eden Gardens,Kolkata,India,Chennai Super Kings,Chennai Super Kings,bat,runs,Result,MS Dhoni,55,1
123,419119,Delhi Daredevils,Mumbai Indians,3/17/2010,2010,Feroz Shah Kotla,Delhi,India,Delhi Daredevils,Mumbai Indians,field,runs,Result,SR Tendulkar,98,1
124,419120,Royal Challengers Bangalore,Rajasthan Royals,3/18/2010,2010,M Chinnaswamy Stadium,Bangalore,India,Royal Challengers Bangalore,Royal Challengers Bangalore,field,wickets,Result,JH Kallis,10,1
125,419121,Delhi Daredevils,Chennai Super Kings,3/19/2010,2010,Feroz Shah Kotla,Delhi,India,Delhi Daredevils,Chennai Super Kings,bat,wickets,Result,ML Hayden,5,1
126,419122,Deccan Chargers,Kings XI Punjab,3/19/2010,2010,Barabati Stadium,Cuttack,India,Kings XI Punjab,Deccan Chargers,field,runs,Result,A Symonds,6,1
127,419123,Rajasthan Royals,Kolkata Knight Riders,3/20/2010,2010,"Sardar Patel Stadium, Motera",Ahmedabad,India,Rajasthan Royals,Rajasthan Royals,bat,runs,Result,AA Jhunjhunwala,34,1
128,419124,Mumbai Indians,Royal Challengers Bangalore,3/20/2010,2010,Brabourne Stadium,Mumbai,India,Mumbai Indians,Royal Challengers Bangalore,bat,wickets,Result,JH Kallis,7,1
129,419125,Deccan Chargers,Delhi Daredevils,3/21/2010,2010,Barabati Stadium,Cuttack,India,Deccan Chargers,Deccan Chargers,bat,runs,Result,A Symonds,10,1
130,419126,Chennai Super Kings,Kings XI Punjab,3/21/2010,2010,"MA Chidambaram Stadium, Chepauk",Chennai,India,Chennai Super Kings,Kings XI Punjab,field,Tie,Superover,J Theron,NULL,1
131,419127,Mumbai Indians,Kolkata Knight Riders,3/22/2010,2010,Brabourne Stadium,Mumbai,India,Kolkata Knight Riders,Mumbai Indians,bat,wickets,Result,SR Tendulkar,7,1
132,419128,Royal Challengers Bangalore,Chennai Super Kings,3/23/2010,2010,M Chinnaswamy Stadium,Bangalore,India,Chennai Super Kings,Royal Challengers Bangalore,field,runs,Result,RV Uthappa,36,1
133,419129,Kings XI Punjab,Rajasthan Royals,3/24/2010,2010,"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,Kings XI Punjab,Rajasthan Royals,field,runs,Result,AC Voges,31,1
134,419130,Mumbai Indians,Chennai Super Kings,3/25/2010,2010,Brabourne Stadium,Mumbai,India,Mumbai Indians,Mumbai Indians,field,wickets,Result,SR Tendulkar,5,1
135,419131,Rajasthan Royals,Deccan Chargers,3/26/2010,2010,"Sardar Patel Stadium, Motera",Ahmedabad,India,Deccan Chargers,Rajasthan Royals,bat,wickets,Result,YK Pathan,8,1
136,419132,Kings XI Punjab,Kolkata Knight Riders,3/27/2010,2010,"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,Kolkata Knight Riders,Kolkata Knight Riders,bat,runs,Result,MK Tiwary,39,1
137,419133,Royal Challengers Bangalore,Delhi Daredevils,3/25/2010,2010,M Chinnaswamy Stadium,Bangalore,India,Royal Challengers Bangalore,Delhi Daredevils,field,runs,Result,KM Jadhav,17,1
138,419134,Rajasthan Royals,Chennai Super Kings,3/28/2010,2010,"Sardar Patel Stadium, Motera",Ahmedabad,India,Rajasthan Royals,Rajasthan Royals,bat,runs,Result,NV Ojha,17,1
139,419135,Deccan Chargers,Mumbai Indians,3/28/2010,2010,Dr DY Patil Sports Academy,Mumbai,India,Deccan Chargers,Mumbai Indians,field,runs,Result,Harbhajan Singh,41,1
